user_identifier,total_purchase,total_rake,total_rake_apd,total_games
12008610,50,9.1,1,33
12043272,500,75.62,1,3
12052119,50,4.66,1,26
12059437,150,35.31,1,20
12072249,100,22.92,1,4
12077931,50,0,0,0
12084664,100,9.2,1,11
12100682,100,4.86,1,10
12105575,200,82.09,2,14
12106355,50,16,1,3
12155697,50,22.5,2,15
12167406,100,7,1,3
12175332,50,0,0,0
12188479,25,13.33,2,6
12259508,25,7.79,1,8
12275945,50,8.45,1,7
12377183,100,15,1,1
12414279,300,185.63,2,67
12467515,1000,158,2,7
12552680,50,8,1,2
12556022,50,2.99,1,5
12565260,240,64.77,2,67
12607513,50,4.51,1,7
12671120,25,21.53,2,43
12675074,50,5.32,1,30
12693445,200,116.01,1,38
12703521,50,1.25,1,7
12720383,300,61.5,1,9
12728198,50,4.94,1,20
12763708,50,4.65,1,7
12775357,50,0,0,1
12800468,250,240.39,1,24
12846396,46,7,1,3
12888475,50,5.43,1,36
12908399,100,13.63,1,8
12937243,50,5.51,1,8
12939730,1100,231.86,1,48
12951087,25,14.76,2,108
12957251,25,4,1,1
12977988,100,83.75,1,9
12989000,100,15,1,2
12995099,25,1.25,1,8
13000444,100,0.92,2,9
13009086,25,49.2,2,82
13042964,400,86.5,2,11
13098625,50,8.94,1,12
13111453,246,96.48,2,7
13145139,100,5.49,1,10
13212414,100,18.93,1,9
13219512,50,8,1,2
13220380,50,11.25,2,7
13231215,200,30,1,1
13420030,100,31.19,1,13
13470703,50,0.04,1,1
13512382,100,20.72,2,26
13517881,200,38.91,2,92
13543144,100,30.4,2,4
13594851,75,21.22,1,14
13597405,160,264,1,27
13652418,100,35,1,16
13740110,50,8.8,1,12
13754562,50,4.54,1,37
13797797,50,62.1,2,155
13885163,100,44.4,1,9
13917916,1000,148.62,1,14
14021001,100,6.32,1,12
14048253,25,10.48,2,13
14061331,50,8.27,1,3
14062096,100,12,1,2
14069504,100,19,1,6
14070619,150,174.5,1,9
14105919,50,0.45,1,6
14111038,225,63.43,1,13
14145261,500,169.33,1,14
14180895,550,438,1,28
14188349,100,13.35,1,7
14260544,25,3.42,1,4
14269470,50,0,0,0
14273480,50,0,0,0
14320394,50,9.65,1,12
14322094,50,16.67,1,5
14328682,100,13.38,1,4
14343208,100,62.54,2,7
14366435,250,76.28,1,14
14372070,360,1058.3,1,55
14422071,500,75,1,4
14476402,300,242.5,2,88
14507614,100,16,1,4
14539327,50,45.47,2,127
14573629,10000,540,2,10
14582660,650,206.8,1,33
14609542,100,22.24,2,22
14636980,300,161.84,2,132
14647552,500,75.12,1,10
14651358,40,35,1,8
14768964,25,13.33,1,8
14855459,25,12.61,1,31
14869046,500,6.09,1,2
14922353,100,8.1,2,6
14985410,40,8.85,2,30
15005807,50,9.67,1,6
15011381,100,14.43,2,40
15047402,300,99.26,1,101
15074082,100,43,1,4
15092126,50,8,1,2
15156582,50,8.23,1,10
15213411,50,46.65,2,38
15305194,30,8.29,1,87
15336651,100,19.14,2,9
15356763,100,12,1,4
15364921,100,22,1,5
15410171,50,18.25,1,19
15447042,50,8,1,3
15551640,25,4,1,1
15597297,100,21.21,1,29
15602145,300,358.5,2,21
15626982,25,4,1,1
15657000,200,64,1,5
15661257,50,40.96,2,58
15662193,150,72,1,23
15712590,25,1.5,1,3
15747336,100,35.69,1,18
15785200,100,24,1,5
15787007,25,22.58,2,25
15795431,50,0.9,1,1
15903632,100,17.75,1,6
15910210,50,15,1,6
15940869,100,8.06,1,3
15952556,100,40.11,2,26
15973967,700,926.06,2,387
16079168,30,4.04,1,15
16094542,100,0,0,0
16097426,50,0.83,1,5
16135988,75,35.85,1,37
16150939,2000,285.41,2,199
16184528,50,53.74,2,124
16199317,50,8.5,1,4
16329673,50,8.83,1,4
16351443,300,120.04,2,14
16352422,25,0,0,2
16355265,50,3.33,1,2
16373108,50,9.24,1,85
16411745,50,16.9,1,4
16486545,25,8,1,2
16492954,500,68.72,1,5
16528971,50,17.5,1,4
16578441,30,5.5,1,2
16582730,75,86.14,2,35
16620512,50,8,1,2
16622543,50,3,1,1
16646250,78,34.14,1,19
16646735,50,3.72,1,16
16721724,100,20.5,1,11
16755534,300,1233.88,2,71
16813548,25,6.67,1,3
16923388,50,8,1,1
16928277,100,16,1,2
16941022,153,59.93,1,63
16961136,28,2.25,1,3
16991811,100,5.77,1,9
16996877,1000,120,1,1
17026729,25,0,0,1
17106189,25,4.54,1,2
17237270,200,89.5,2,37
17311326,200,39.5,2,16
17430263,50,14,1,6
17442111,200,71.66,1,33
17564356,50,4,1,1
17578873,250,32.1,1,12
17666824,25,4.5,2,9
17711505,50,12.75,1,15
17825998,50,6.49,2,15
17858166,50,9.36,1,8
17868904,292,155.79,2,75
17926862,200,106.77,2,105
17970774,50,7.5,1,2
18016526,50,13.5,2,10
18051212,50,0.11,1,3
18097647,50,1.75,1,3
18108991,100,2.42,1,9
18150776,50,26.25,1,8
18197153,500,75,1,1
18215475,100,5.11,2,44
18361679,100,30.67,1,9
18406223,400,114,2,30
18429279,300,93.55,2,41
18452043,100,24,2,6
18465953,50,5.26,1,18
18471027,25,4.75,1,2
18504486,100,17.5,1,4
18547757,250,87.26,2,57
18573902,50,14,2,10
18609372,100,25.36,1,38
18613446,100,26.72,1,19
18629605,200,4.96,1,3
18670772,50,10,1,5
18734805,1254,224.32,2,263
18754965,100,32.17,1,67
18774329,100,50.81,1,32
18777295,50,8.5,1,3
18791528,100,24,2,3
18797710,100,8,1,2
18913384,100,12.31,1,15
18947784,50,8.9,1,26
